# CodeVisualization 分析结果导出
# 导出时间: 2025-07-31 15:52:24
# 项目分析结果 - C:/Users/admin/Desktop/code/PHMWidgetManager

# 概览信息
项目,值
项目路径,C:/Users/admin/Desktop/code/PHMWidgetManager
分析时间,2025-07-31 15:52:15
总文件数,224
总行数,73,877
代码行数,60,480
注释行数,5,388
空行数,8,009
总文件大小,2.47 MB
代码行占比,81.87%
注释行占比,7.29%
空行占比,10.84%
编程语言数量,2

# 详细统计表格
语言,文件数,总行数,代码行数,注释行数,空行数,文件大小,平均行数,代码密度
C++,107,60,230,51,272,4,220,4,738,2.11 MB,562.9,85.13%
C/C++ Header,117,13,647,9,208,1,168,3,271,369.81 KB,116.6,67.47%

# 文件列表
文件路径,语言,总行数,代码行数,注释行数,空行数,文件大小,代码密度
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDiagnosisDataWidget.h,C/C++ Header,91,67,7,17,2.88 KB,73.63%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDiskPieChart.cpp,C++,90,73,0,17,2.81 KB,81.11%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QDiskPieChart.h,C/C++ Header,37,27,0,10,721.00 B,72.97%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qeventwidget.cpp,C++,778,691,59,28,31.71 KB,88.82%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qeventwidget.h,C/C++ Header,83,54,14,15,2.66 KB,65.06%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qfaultdatawidget.cpp,C++,2,856,2,638,156,62,118.60 KB,92.37%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qfaultdatawidget.h,C/C++ Header,199,135,27,37,6.81 KB,67.84%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qhealthassess.cpp,C++,264,227,6,31,6.76 KB,85.98%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qhealthassess.h,C/C++ Header,49,38,4,7,1.71 KB,77.55%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHealthDevWidget.cpp,C++,599,507,56,36,21.06 KB,84.64%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHealthDevWidget.h,C/C++ Header,94,62,7,25,2.54 KB,65.96%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHealthDiagnosisWidget.cpp,C++,635,590,27,18,22.98 KB,92.91%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHealthDiagnosisWidget.h,C/C++ Header,68,51,6,11,1.99 KB,75.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qhistoryddwidget.cpp,C++,3,063,2,857,133,73,116.98 KB,93.27%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qhistoryddwidget.h,C/C++ Header,217,159,22,36,6.70 KB,73.27%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistorySensorWidget.cpp,C++,881,802,48,31,34.63 KB,91.03%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistorySensorWidget.h,C/C++ Header,107,74,10,23,3.33 KB,69.16%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistorySignWidget.cpp,C++,741,667,45,29,28.36 KB,90.01%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistorySignWidget.h,C/C++ Header,89,72,3,14,2.79 KB,80.90%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistoryTrendWidget.cpp,C++,1,166,1,074,53,39,43.92 KB,92.11%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistoryTrendWidget.h,C/C++ Header,120,84,12,24,3.87 KB,70.00%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistoryWidget.cpp,C++,2,958,2,776,115,67,114.67 KB,93.85%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QHistoryWidget.h,C/C++ Header,203,151,19,33,6.00 KB,74.38%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QLoadDialog.cpp,C++,39,32,0,7,755.00 B,82.05%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QLoadDialog.h,C/C++ Header,30,22,0,8,438.00 B,73.33%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QLoginDlg.cpp,C++,44,35,0,9,916.00 B,79.55%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QLoginDlg.h,C/C++ Header,28,20,0,8,397.00 B,71.43%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qloginfotext.cpp,C++,169,138,3,28,4.42 KB,81.66%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/qloginfotext.h,C/C++ Header,44,39,1,4,1.12 KB,88.64%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/QLogWidget.cpp,C++,68,59,0,9,1.80 KB,86.76%
